Occupation,Congress,Year,Representatives
Acting/entertainer,83,1953,.
Aeronautics,83,1953,.
Agriculture,83,1953,63
Business or banking,83,1953,149
Clergy,83,1953,.
Congressional aide,83,1953,23
Education,83,1953,65
Engineering,83,1953,.
Journalism,83,1953,39
Labor leader,83,1953,.
Law,83,1953,248
Law enforcement,83,1953,.
Medicine,83,1953,6
Military,83,1953,.
Professional sports,83,1953,.
Public service/politics,83,1953,361
Real estate,83,1953,.
Veteran,83,1953,268
New Occupations,83,1953,.
Artistic/Creative,83,1953,.
Healthcare,83,1953,.
Homemaker/Domestic,83,1953,.
Science,83,1953,.
Secreterial/clerical,83,1953,.
Technical/Trade,83,1953,.
Miscellaneous,83,1953,.
Acting/entertainer,84,1955,.
Aeronautics,84,1955,.
Agriculture,84,1955,60
Business or banking,84,1955,141
Clergy,84,1955,.
Congressional aide,84,1955,22
Education,84,1955,60
Engineering,84,1955,.
Journalism,84,1955,36
Labor leader,84,1955,.
Law,84,1955,247
Law enforcement,84,1955,.
Medicine,84,1955,6
Military,84,1955,.
Professional sports,84,1955,.
Public service/politics,84,1955,349
Real estate,84,1955,.
Veteran,84,1955,277
New Occupations,84,1955,.
Artistic/Creative,84,1955,.
Healthcare,84,1955,.
Homemaker/Domestic,84,1955,.
Science,84,1955,.
Secreterial/clerical,84,1955,.
Technical/Trade,84,1955,.
Miscellaneous,84,1955,.
Acting/entertainer,86,1959,.
Aeronautics,86,1959,.
Agriculture,86,1959,45
Business or banking,86,1959,130
Clergy,86,1959,.
Congressional aide,86,1959,25
Education,86,1959,41
Engineering,86,1959,3
Journalism,86,1959,35
Labor leader,86,1959,.
Law,86,1959,242
Law enforcement,86,1959,.
Medicine,86,1959,4
Military,86,1959,.
Professional sports,86,1959,.
Public service/politics,86,1959,384
Real estate,86,1959,.
Veteran,86,1959,281
New Occupations,86,1959,.
Artistic/Creative,86,1959,.
Healthcare,86,1959,.
Homemaker/Domestic,86,1959,.
Science,86,1959,.
Secreterial/clerical,86,1959,.
Technical/Trade,86,1959,.
Miscellaneous,86,1959,.
Acting/entertainer,89,1965,.
Aeronautics,89,1965,.
