"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AirNow","060010007","3","8.6","ug/m3 LC","36","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/02/2020","AirNow","060010007","3","4.5","ug/m3 LC","19","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/03/2020","AirNow","060010007","3","14.4","ug/m3 LC","56","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/04/2020","AirNow","060010007","3","10.9","ug/m3 LC","45","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/05/2020","AirNow","060010007","3","7.8","ug/m3 LC","33","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/06/2020","AirNow","060010007","3","6.1","ug/m3 LC","25","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/07/2020","AirNow","060010007","3","6.9","ug/m3 LC","29","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/08/2020","AirNow","060010007","3","3","ug/m3 LC","13","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/09/2020","AirNow","060010007","3","6","ug/m3 LC","25","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/10/2020","AirNow","060010007","3","5.5","ug/m3 LC","23","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/11/2020","AirNow","060010007","3","5.9","ug/m3 LC","25","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/12/2020","AirNow","060010007","3","5.8","ug/m3 LC","24","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/13/2020","AirNow","060010007","3","2.9","ug/m3 LC","12","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/14/2020","AirNow","060010007","3","4.7","ug/m3 LC","20","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/15/2020","AirNow","060010007","3","5.7","ug/m3 LC","24","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/16/2020","AirNow","060010007","3","2.1","ug/m3 LC","9","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/17/2020","AirNow","060010007","3","5.7","ug/m3 LC","24","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/18/2020","AirNow","060010007","3","5.8","ug/m3 LC","24","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/19/2020","AirNow","060010007","3","8.9","ug/m3 LC","37","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/20/2020","AirNow","060010007","3","16.1","ug/m3 LC","59","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/21/2020","AirNow","060010007","3","2.6","ug/m3 LC","11","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/22/2020","AirNow","060010007","3","3.7","ug/m3 LC","15","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/23/2020","AirNow","060010007","3","7.4","ug/m3 LC","31","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/24/2020","AirNow","060010007","3","8.1","ug/m3 LC","34","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/25/2020","AirNow","060010007","3","7.2","ug/m3 LC","30","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/26/2020","AirNow","060010007","3","2.9","ug/m3 LC","12","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/27/2020","AirNow","060010007","3","3.5","ug/m3 LC","15","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/28/2020","AirNow","060010007","3","3.7","ug/m3 LC","15","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/29/2020","AirNow","060010007","3","6.1","ug/m3 LC","25","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/30/2020","AirNow","060010007","3","6.8","ug/m3 LC","28","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/31/2020","AirNow","060010007","3","10.7","ug/m3 LC","45","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/01/2020","AirNow","060010007","3","14.6","ug/m3 LC","56","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/02/2020","AirNow","060010007","3","6.3","ug/m3 LC","26","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/03/2020","AirNow","060010007","3","2.3","ug/m3 LC","10","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/04/2020","AirNow","060010007","3","1.8","ug/m3 LC","8","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/05/2020","AirNow","060010007","3","5.3","ug/m3 LC","22","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/06/2020","AirNow","060010007","3","8.3","ug/m3 LC","35","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/07/2020","AirNow","060010007","3","12.6","ug/m3 LC","52","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/08/2020","AirNow","060010007","3","10","ug/m3 LC","42","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/09/2020","AirNow","060010007","3","1.1","ug/m3 LC","5","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/10/2020","AirNow","060010007","3","1.7","ug/m3 LC","7","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/11/2020","AirNow","060010007","3","2.5","ug/m3 LC","10","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/12/2020","AirNow","060010007","3","5.8","ug/m3 LC","24","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/13/2020","AirNow","060010007","3","8.5","ug/m3 LC","35","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/14/2020","AirNow","060010007","3","8.1","ug/m3 LC","34","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/15/2020","AirNow","060010007","3","10.3","ug/m3 LC","43","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/19/2020","AirNow","060010007","3","7.1","ug/m3 LC","30","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/20/2020","AirNow","060010007","3","11.4","ug/m3 LC","48","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/21/2020","AirNow","060010007","3","8.5","ug/m3 LC","35","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/22/2020","AirNow","060010007","3","9.9","ug/m3 LC","41","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/23/2020","AirNow","060010007","3","5.6","ug/m3 LC","23","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/24/2020","AirNow","060010007","3","4.7","ug/m3 LC","20","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/25/2020","AirNow","060010007","3","3.6","ug/m3 LC","15","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/26/2020","AirNow","060010007","3","10","ug/m3 LC","42","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/27/2020","AirNow","060010007","3","12","ug/m3 LC","50","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/28/2020","AirNow","060010007","3","10.8","ug/m3 LC","45","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/29/2020","AirNow","060010007","3","7.1","ug/m3 LC","30","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/01/2020","AirNow","060010007","3","3.6","ug/m3 LC","15","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/02/2020","AirNow","060010007","3","1.9","ug/m3 LC","8","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/03/2020","AirNow","060010007","3","4.1","ug/m3 LC","17","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/04/2020","AirNow","060010007","3","8","ug/m3 LC","33","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/05/2020","AirNow","060010007","3","11","ug/m3 LC","46","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/06/2020","AirNow","060010007","3","4.6","ug/m3 LC","19","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/07/2020","AirNow","060010007","3","2.1","ug/m3 LC","9","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/08/2020","AirNow","060010007","3","4","ug/m3 LC","17","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/09/2020","AirNow","060010007","3","3.7","ug/m3 LC","15","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/10/2020","AirNow","060010007","3","4.2","ug/m3 LC","18","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/11/2020","AirNow","060010007","3","3.8","ug/m3 LC","16","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/12/2020","AirNow","060010007","3","5.1","ug/m3 LC","21","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/13/2020","AirNow","060010007","3","8.8","ug/m3 LC","37","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/14/2020","AirNow","060010007","3","3.5","ug/m3 LC","15","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/15/2020","AirNow","060010007","3","1.7","ug/m3 LC","7","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/16/2020","AirNow","060010007","3","1.3","ug/m3 LC","5","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/17/2020","AirNow","060010007","3","5.5","ug/m3 LC","23","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/18/2020","AirNow","060010007","3","4.9","ug/m3 LC","20","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/19/2020","AirNow","060010007","3","5.4","ug/m3 LC","23","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/20/2020","AirNow","060010007","3","5.9","ug/m3 LC","25","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/21/2020","AirNow","060010007","3","6","ug/m3 LC","25","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/22/2020","AirNow","060010007","3","5.7","ug/m3 LC","24","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/23/2020","AirNow","060010007","3","6","ug/m3 LC","25","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/24/2020","AirNow","060010007","3","2.7","ug/m3 LC","11","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/25/2020","AirNow","060010007","3","1.8","ug/m3 LC","8","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/26/2020","AirNow","060010007","3","2.4","ug/m3 LC","10","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/27/2020","AirNow","060010007","3","7.4","ug/m3 LC","31","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/28/2020","AirNow","060010007","3","7.8","ug/m3 LC","33","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/29/2020","AirNow","060010007","3","4.8","ug/m3 LC","20","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/30/2020","AirNow","060010007","3","1.6","ug/m3 LC","7","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/31/2020","AirNow","060010007","3","1.8","ug/m3 LC","8","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/01/2020","AirNow","060010007","3","4.4","ug/m3 LC","18","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/02/2020","AirNow","060010007","3","2.6","ug/m3 LC","11","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/03/2020","AirNow","060010007","3","3.3","ug/m3 LC","14","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/04/2020","AirNow","060010007","3","1.4","ug/m3 LC","6","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/05/2020","AirNow","060010007","3","2.5","ug/m3 LC","10","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/06/2020","AirNow","060010007","3","3.5","ug/m3 LC","15","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/07/2020","AirNow","060010007","3","2.5","ug/m3 LC","10","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/08/2020","AirNow","060010007","3","3.9","ug/m3 LC","16","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/09/2020","AirNow","060010007","3","3","ug/m3 LC","13","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/10/2020","AirNow","060010007","3","4.6","ug/m3 LC","19","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/11/2020","AirNow","060010007","3","4.1","ug/m3 LC","17","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/12/2020","AirNow","060010007","3","6","ug/m3 LC","25","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/13/2020","AirNow","060010007","3","10.3","ug/m3 LC","43","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/14/2020","AirNow","060010007","3","5.2","ug/m3 LC","22","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/15/2020","AirNow","060010007","3","6","ug/m3 LC","25","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/16/2020","AirNow","060010007","3","4.9","ug/m3 LC","20","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/17/2020","AirNow","060010007","3","4.3","ug/m3 LC","18","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/18/2020","AirNow","060010007","3","4.6","ug/m3 LC","19","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/19/2020","AirNow","060010007","3","5.2","ug/m3 LC","22","Livermore","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/01/2020","AirNow","060010009","3","13.1","ug/m3 LC","53","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/02/2020","AirNow","060010009","3","7.6","ug/m3 LC","32","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/03/2020","AirNow","060010009","3","15","ug/m3 LC","57","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/04/2020","AirNow","060010009","3","9.5","ug/m3 LC","40","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/05/2020","AirNow","060010009","3","6.1","ug/m3 LC","25","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/06/2020","AirNow","060010009","3","4.7","ug/m3 LC","20","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/07/2020","AirNow","060010009","3","7.5","ug/m3 LC","31","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/08/2020","AirNow","060010009","3","5.2","ug/m3 LC","22","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/09/2020","AirNow","060010009","3","4.7","ug/m3 LC","20","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/10/2020","AirNow","060010009","3","4.6","ug/m3 LC","19","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/11/2020","AirNow","060010009","3","8.2","ug/m3 LC","34","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/12/2020","AirNow","060010009","3","5.3","ug/m3 LC","22","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/13/2020","AirNow","060010009","3","4","ug/m3 LC","17","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/14/2020","AirNow","060010009","3","5.1","ug/m3 LC","21","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/15/2020","AirNow","060010009","3","4.1","ug/m3 LC","17","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/16/2020","AirNow","060010009","3","5.9","ug/m3 LC","25","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/17/2020","AirNow","060010009","3","5.2","ug/m3 LC","22","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/18/2020","AirNow","060010009","3","5","ug/m3 LC","21","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/19/2020","AirNow","060010009","3","5.4","ug/m3 LC","23","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/20/2020","AirNow","060010009","3","13.2","ug/m3 LC","53","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/21/2020","AirNow","060010009","3","4.2","ug/m3 LC","18","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
